"100016","104","TOPICAL (HOUSEHOLD)","Topique (Maison)"
"2548","65","SUBCUTANEOUS","Sous-cutanée"
"2553","56","ORAL","Orale"
"25672","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"25672","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"25672","94","DISINFECTANT (Institutional/Industrial)","Désinfectant (Institutions/Industries)"
"25675","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"25675","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"25675","94","DISINFECTANT (Institutional/Industrial)","Désinfectant (Institutions/Industries)"
"25828","70","TOPICAL","Topique"
"2587","56","ORAL","Orale"
"25897","56","ORAL","Orale"
"25898","56","ORAL","Orale"
"26144","56","ORAL","Orale"
"26149","56","ORAL","Orale"
"2631","49","INTRAVENOUS","Intraveineuse"
"26396","56","ORAL","Orale"
"26397","56","ORAL","Orale"
"26438","56","ORAL","Orale"
"2658","56","ORAL","Orale"
"26833","56","ORAL","Orale"
"2701","56","ORAL","Orale"
"27461","56","ORAL","Orale"
"27462","56","ORAL","Orale"
"27463","56","ORAL","Orale"
"2747","30","DISINFECTANT (Medical Instruments)","Désinfectant (Instruments médicaux)"
"2747","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"2747","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"2756","22","INTRAMUSCULAR","Intramusculaire"
"2757","22","INTRAMUSCULAR","Intramusculaire"
"2757","65","SUBCUTANEOUS","Sous-cutanée"
"2758","22","INTRAMUSCULAR","Intramusculaire"
"2785","22","INTRAMUSCULAR","Intramusculaire"
"2785","49","INTRAVENOUS","Intraveineuse"
"2785","65","SUBCUTANEOUS","Sous-cutanée"
"2786","22","INTRAMUSCULAR","Intramusculaire"
"2786","49","INTRAVENOUS","Intraveineuse"
"2786","65","SUBCUTANEOUS","Sous-cutanée"
"2791","70","TOPICAL","Topique"
"2792","31","INTRATHECAL","Intrathécale"
"2792","49","INTRAVENOUS","Intraveineuse"
"2792","65","SUBCUTANEOUS","Sous-cutanée"
"2793","31","INTRATHECAL","Intrathécale"
"2793","49","INTRAVENOUS","Intraveineuse"
"2793","65","SUBCUTANEOUS","Sous-cutanée"
"27993","70","TOPICAL","Topique"
"2809","56","ORAL","Orale"
"2811","56","ORAL","Orale"
"2817","22","INTRAMUSCULAR","Intramusculaire"
"2817","65","SUBCUTANEOUS","Sous-cutanée"
"2819","70","TOPICAL","Topique"
"28197","73","UDDER WASH","Nettoyage du pis"
"2824","22","INTRAMUSCULAR","Intramusculaire"
"2824","65","SUBCUTANEOUS","Sous-cutanée"
"2865","56","ORAL","Orale"
"28683","56","ORAL","Orale"
"2871","22","INTRAMUSCULAR","Intramusculaire"
"2871","49","INTRAVENOUS","Intraveineuse"
"2881","19","INTRADERMAL","Intradermique"
"2881","22","INTRAMUSCULAR","Intramusculaire"
"2908","56","ORAL","Orale"
"29506","56","ORAL","Orale"
"2966","56","ORAL","Orale"
"3003","56","ORAL","Orale"
"3039","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"3039","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"3040","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"3040","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"30739","56","ORAL","Orale"
"30826","56","ORAL","Orale"
"3093","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"3093","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"31","22","INTRAMUSCULAR","Intramusculaire"
"31","49","INTRAVENOUS","Intraveineuse"
"3104","49","INTRAVENOUS","Intraveineuse"
"31467","55","OPHTHALMIC","Ophtalmique"
"31502","56","ORAL","Orale"
"31506","56","ORAL","Orale"
"31530","56","ORAL","Orale"
"3155","19","INTRADERMAL","Intradermique"
"3155","22","INTRAMUSCULAR","Intramusculaire"
"3190","49","INTRAVENOUS","Intraveineuse"
"3266","56","ORAL","Orale"
"3276","70","TOPICAL","Topique"
"3307","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"3311","56","ORAL","Orale"
"33120","56","ORAL","Orale"
"3326","33","INTRAPERITONEAL","Intrapéritonéale"
"3326","49","INTRAVENOUS","Intraveineuse"
"33272","56","ORAL","Orale"
"3329","56","ORAL","Orale"
"3357","56","ORAL","Orale"
"3404","56","ORAL","Orale"
"3413","56","ORAL","Orale"
"34215","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"34215","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"3425","56","ORAL","Orale"
"34463","70","TOPICAL","Topique"
"3455","56","ORAL","Orale"
"3456","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"34945","62","RECTAL","Rectale"
"34945","70","TOPICAL","Topique"
"3497","22","INTRAMUSCULAR","Intramusculaire"
"3497","49","INTRAVENOUS","Intraveineuse"
"3498","22","INTRAMUSCULAR","Intramusculaire"
"3498","49","INTRAVENOUS","Intraveineuse"
"3499","22","INTRAMUSCULAR","Intramusculaire"
"3499","49","INTRAVENOUS","Intraveineuse"
"3500","22","INTRAMUSCULAR","Intramusculaire"
"3500","65","SUBCUTANEOUS","Sous-cutanée"
"3501","22","INTRAMUSCULAR","Intramusculaire"
"3501","49","INTRAVENOUS","Intraveineuse"
"3502","22","INTRAMUSCULAR","Intramusculaire"
"3503","22","INTRAMUSCULAR","Intramusculaire"
"3503","49","INTRAVENOUS","Intraveineuse"
"3535","49","INTRAVENOUS","Intraveineuse"
"35667","56","ORAL","Orale"
"3567","56","ORAL","Orale"
"3568","22","INTRAMUSCULAR","Intramusculaire"
"3620","70","TOPICAL","Topique"
"36232","56","ORAL","Orale"
"3630","56","ORAL","Orale"
"3656","56","ORAL","Orale"
"3657","56","ORAL","Orale"
"3658","56","ORAL","Orale"
"3666","70","TOPICAL","Topique"
"3667","70","TOPICAL","Topique"
"3670","56","ORAL","Orale"
"36798","62","RECTAL","Rectale"
"36798","70","TOPICAL","Topique"
"36799","62","RECTAL","Rectale"
"36843","56","ORAL","Orale"
"3725","22","INTRAMUSCULAR","Intramusculaire"
"37346","56","ORAL","Orale"
"37349","65","SUBCUTANEOUS","Sous-cutanée"
"37349","85","PERCUTANEOUS","Percutanée"
"3735","22","INTRAMUSCULAR","Intramusculaire"
"3735","65","SUBCUTANEOUS","Sous-cutanée"
"37350","65","SUBCUTANEOUS","Sous-cutanée"
"37350","85","PERCUTANEOUS","Percutanée"
"37351","65","SUBCUTANEOUS","Sous-cutanée"
"37351","85","PERCUTANEOUS","Percutanée"
"37352","65","SUBCUTANEOUS","Sous-cutanée"
"37352","85","PERCUTANEOUS","Percutanée"
"37353","65","SUBCUTANEOUS","Sous-cutanée"
"37353","85","PERCUTANEOUS","Percutanée"
"37354","65","SUBCUTANEOUS","Sous-cutanée"
"37354","85","PERCUTANEOUS","Percutanée"
"37358","56","ORAL","Orale"
"37362","49","INTRAVENOUS","Intraveineuse"
"37385","70","TOPICAL","Topique"
"37386","55","OPHTHALMIC","Ophtalmique"
"37387","55","OPHTHALMIC","Ophtalmique"
"37436","19","INTRADERMAL","Intradermique"
"37436","65","SUBCUTANEOUS","Sous-cutanée"
"37438","19","INTRADERMAL","Intradermique"
"37438","65","SUBCUTANEOUS","Sous-cutanée"
"37440","19","INTRADERMAL","Intradermique"
"37440","65","SUBCUTANEOUS","Sous-cutanée"
"37442","19","INTRADERMAL","Intradermique"
"37442","65","SUBCUTANEOUS","Sous-cutanée"
"37444","19","INTRADERMAL","Intradermique"
"37444","65","SUBCUTANEOUS","Sous-cutanée"
"37445","19","INTRADERMAL","Intradermique"
"37445","65","SUBCUTANEOUS","Sous-cutanée"
"37484","19","INTRADERMAL","Intradermique"
"37484","65","SUBCUTANEOUS","Sous-cutanée"
"37484","85","PERCUTANEOUS","Percutanée"
"3756","56","ORAL","Orale"
"37625","70","TOPICAL","Topique"
"37840","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"37840","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"37840","94","DISINFECTANT (Institutional/Industrial)","Désinfectant (Institutions/Industries)"
"3805","1","BLOCK/INFILTRATION","Bloc/Infiltration"
"38054","56","ORAL","Orale"
"3810","56","ORAL","Orale"
"3811","56","ORAL","Orale"
"3812","56","ORAL","Orale"
"3830","70","TOPICAL","Topique"
"3918","56","ORAL","Orale"
"3919","56","ORAL","Orale"
"3920","56","ORAL","Orale"
"3921","22","INTRAMUSCULAR","Intramusculaire"
"3921","49","INTRAVENOUS","Intraveineuse"
"3922","22","INTRAMUSCULAR","Intramusculaire"
"3966","56","ORAL","Orale"
"3978","59","PARENTERAL (UNSPECIFIED)","Parentérale (non spécifiée)"
"4000","2","DISINFECTANT (Barn)","Désinfectant (Ferme)"
"4000","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"40419","56","ORAL","Orale"
"40420","56","ORAL","Orale"
"4071","56","ORAL","Orale"
"4073","70","TOPICAL","Topique"
"4073","73","UDDER WASH","Nettoyage du pis"
"4088","56","ORAL","Orale"
"4133","49","INTRAVENOUS","Intraveineuse"
"41753","56","ORAL","Orale"
"41796","56","ORAL","Orale"
"41933","70","TOPICAL","Topique"
"41955","70","TOPICAL","Topique"
"41956","70","TOPICAL","Topique"
"41957","70","TOPICAL","Topique"
"4199","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"4201","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"42042","70","TOPICAL","Topique"
"42043","70","TOPICAL","Topique"
"42099","70","TOPICAL","Topique"
"42159","70","TOPICAL","Topique"
"42186","70","TOPICAL","Topique"
"4252","56","ORAL","Orale"
"42528","70","TOPICAL","Topique"
"42569","56","ORAL","Orale"
"4260","56","ORAL","Orale"
"42862","22","INTRAMUSCULAR","Intramusculaire"
"42862","49","INTRAVENOUS","Intraveineuse"
"42870","56","ORAL","Orale"
"42886","49","INTRAVENOUS","Intraveineuse"
"42927","49","INTRAVENOUS","Intraveineuse"
"42930","49","INTRAVENOUS","Intraveineuse"
"42931","56","ORAL","Orale"
"42940","70","TOPICAL","Topique"
"42946","49","INTRAVENOUS","Intraveineuse"
"43030","22","INTRAMUSCULAR","Intramusculaire"
"43030","49","INTRAVENOUS","Intraveineuse"
"43165","56","ORAL","Orale"
"43172","49","INTRAVENOUS","Intraveineuse"
"43194","29","INHALATION","Inhalation"
"43218","19","INTRADERMAL","Intradermique"
"43218","65","SUBCUTANEOUS","Sous-cutanée"
"43219","19","INTRADERMAL","Intradermique"
"43219","65","SUBCUTANEOUS","Sous-cutanée"
"43367","56","ORAL","Orale"
"43368","56","ORAL","Orale"
"43377","56","ORAL","Orale"
"43378","56","ORAL","Orale"
"43388","19","INTRADERMAL","Intradermique"
"43388","65","SUBCUTANEOUS","Sous-cutanée"
"43420","56","ORAL","Orale"
"43427","64","SUBARACHNOIDAL","Sous-arachnoÏdienne"
"43427","97","INTRAVASCULAR","Intravasculaire"
"43438","56","ORAL","Orale"
"43439","56","ORAL","Orale"
"43440","56","ORAL","Orale"
"43447","22","INTRAMUSCULAR","Intramusculaire"
"43447","65","SUBCUTANEOUS","Sous-cutanée"
"43481","53","NASAL","Nasale"
"43482","70","TOPICAL","Topique"
"43485","56","ORAL","Orale"
"43599","97","INTRAVASCULAR","Intravasculaire"
"43651","36","IRRIGATION","Irrigation"
"43718","55","OPHTHALMIC","Ophtalmique"
"43719","55","OPHTHALMIC","Ophtalmique"
"43769","56","ORAL","Orale"
"4388","56","ORAL","Orale"
"44067","29","INHALATION","Inhalation"
"44129","56","ORAL","Orale"
"44130","56","ORAL","Orale"
"44132","56","ORAL","Orale"
"44133","56","ORAL","Orale"
"44216","56","ORAL","Orale"
"44218","56","ORAL","Orale"
"44225","56","ORAL","Orale"
"44226","56","ORAL","Orale"
"44541","56","ORAL","Orale"
"44612","29","INHALATION","Inhalation"
"4465","56","ORAL","Orale"
"44888","70","TOPICAL","Topique"
"45323","56","ORAL","Orale"
"4538","56","ORAL","Orale"
"4544","70","TOPICAL","Topique"
"4545","56","ORAL","Orale"
"4546","56","ORAL","Orale"
"457","56","ORAL","Orale"
"4582","56","ORAL","Orale"
"4610","56","ORAL","Orale"
"4611","56","ORAL","Orale"
"46470","19","INTRADERMAL","Intradermique"
"46470","65","SUBCUTANEOUS","Sous-cutanée"
"46471","19","INTRADERMAL","Intradermique"
"46471","65","SUBCUTANEOUS","Sous-cutanée"
"46474","22","INTRAMUSCULAR","Intramusculaire"
"46474","49","INTRAVENOUS","Intraveineuse"
"46520","65","SUBCUTANEOUS","Sous-cutanée"
"46758","56","ORAL","Orale"
"468","56","ORAL","Orale"
"47112","56","ORAL","Orale"
"4716","22","INTRAMUSCULAR","Intramusculaire"
"4716","42","INTRASYNOVIAL","Intrasynoviale"
"4717","22","INTRAMUSCULAR","Intramusculaire"
"4718","49","INTRAVENOUS","Intraveineuse"
"47182","57","OTIC","Otique"
"4719","22","INTRAMUSCULAR","Intramusculaire"
"4719","49","INTRAVENOUS","Intraveineuse"
"4720","22","INTRAMUSCULAR","Intramusculaire"
"47357","56","ORAL","Orale"
"47358","56","ORAL","Orale"
"4739","56","ORAL","Orale"
"47421","56","ORAL","Orale"
"47426","56","ORAL","Orale"
"47427","56","ORAL","Orale"
"47428","56","ORAL","Orale"
"47493","55","OPHTHALMIC","Ophtalmique"
"47571","30","DISINFECTANT (Medical Instruments)","Désinfectant (Instruments médicaux)"
"4761","22","INTRAMUSCULAR","Intramusculaire"
"4761","49","INTRAVENOUS","Intraveineuse"
"4761","65","SUBCUTANEOUS","Sous-cutanée"
"4770","33","INTRAPERITONEAL","Intrapéritonéale"
"4770","49","INTRAVENOUS","Intraveineuse"
"4771","70","TOPICAL","Topique"
"47718","56","ORAL","Orale"
"47738","56","ORAL","Orale"
"47910","22","INTRAMUSCULAR","Intramusculaire"
"47910","49","INTRAVENOUS","Intraveineuse"
"4792","65","SUBCUTANEOUS","Sous-cutanée"
"48078","56","ORAL","Orale"
"4815","70","TOPICAL","Topique"
"4834","49","INTRAVENOUS","Intraveineuse"
"48453","56","ORAL","Orale"
"48636","56","ORAL","Orale"
"4871","56","ORAL","Orale"
"4877","56","ORAL","Orale"
"48859","56","ORAL","Orale"
"4886","53","NASAL","Nasale"
"48884","49","INTRAVENOUS","Intraveineuse"
"48885","49","INTRAVENOUS","Intraveineuse"
"48900","56","ORAL","Orale"
"48901","56","ORAL","Orale"
"48902","56","ORAL","Orale"
"48903","56","ORAL","Orale"
"48904","56","ORAL","Orale"
"4896","56","ORAL","Orale"
"4897","56","ORAL","Orale"
"48975","56","ORAL","Orale"
"48977","56","ORAL","Orale"
"48978","56","ORAL","Orale"
"48981","30","DISINFECTANT (Medical Instruments)","Désinfectant (Instruments médicaux)"
"4900","56","ORAL","Orale"
"4915","56","ORAL","Orale"
"4916","56","ORAL","Orale"
"49164","56","ORAL","Orale"
"49166","56","ORAL","Orale"
"49167","56","ORAL","Orale"
"49335","56","ORAL","Orale"
"4938","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"4938","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"4938","94","DISINFECTANT (Institutional/Industrial)","Désinfectant (Institutions/Industries)"
"49561","56","ORAL","Orale"
"49586","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"49586","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"49586","94","DISINFECTANT (Institutional/Industrial)","Désinfectant (Institutions/Industries)"
"4981","56","ORAL","Orale"
"49816","22","INTRAMUSCULAR","Intramusculaire"
"49816","49","INTRAVENOUS","Intraveineuse"
"4989","56","ORAL","Orale"
"49920","56","ORAL","Orale"
"49965","22","INTRAMUSCULAR","Intramusculaire"
"49967","22","INTRAMUSCULAR","Intramusculaire"
"50069","56","ORAL","Orale"
"50070","56","ORAL","Orale"
"50072","56","ORAL","Orale"
"50097","56","ORAL","Orale"
"50098","56","ORAL","Orale"
"50115","56","ORAL","Orale"
"50120","56","ORAL","Orale"
"50133","65","SUBCUTANEOUS","Sous-cutanée"
"50135","65","SUBCUTANEOUS","Sous-cutanée"
"50137","65","SUBCUTANEOUS","Sous-cutanée"
"50138","65","SUBCUTANEOUS","Sous-cutanée"
"50155","56","ORAL","Orale"
"50157","56","ORAL","Orale"
"50212","56","ORAL","Orale"
"50219","56","ORAL","Orale"
"50224","22","INTRAMUSCULAR","Intramusculaire"
"50238","3","BUCCAL","Buccale"
"50311","56","ORAL","Orale"
"50312","56","ORAL","Orale"
"50342","56","ORAL","Orale"
"50373","56","ORAL","Orale"
"50418","56","ORAL","Orale"
"50426","56","ORAL","Orale"
"50428","56","ORAL","Orale"
"50429","56","ORAL","Orale"
"50450","56","ORAL","Orale"
"50507","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"50507","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"50515","56","ORAL","Orale"
"50516","22","INTRAMUSCULAR","Intramusculaire"
"50651","22","INTRAMUSCULAR","Intramusculaire"
"50704","53","NASAL","Nasale"
"50719","56","ORAL","Orale"
"50747","29","INHALATION","Inhalation"
"5076","70","TOPICAL","Topique"
"50819","29","INHALATION","Inhalation"
"50824","29","INHALATION","Inhalation"
"5088","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"50882","56","ORAL","Orale"
"50886","56","ORAL","Orale"
"50887","56","ORAL","Orale"
"50946","70","TOPICAL","Topique"
"51037","56","ORAL","Orale"
"51039","56","ORAL","Orale"
"51040","56","ORAL","Orale"
"51054","29","INHALATION","Inhalation"
"51080","56","ORAL","Orale"
"5112","56","ORAL","Orale"
"5125","56","ORAL","Orale"
"51346","22","INTRAMUSCULAR","Intramusculaire"
"51346","49","INTRAVENOUS","Intraveineuse"
"51347","22","INTRAMUSCULAR","Intramusculaire"
"51347","49","INTRAVENOUS","Intraveineuse"
"51348","22","INTRAMUSCULAR","Intramusculaire"
"51348","49","INTRAVENOUS","Intraveineuse"
"5141","56","ORAL","Orale"
"5143","56","ORAL","Orale"
"5144","56","ORAL","Orale"
"51610","70","TOPICAL","Topique"
"51611","70","TOPICAL","Topique"
"51612","70","TOPICAL","Topique"
"5162","22","INTRAMUSCULAR","Intramusculaire"
"5162","65","SUBCUTANEOUS","Sous-cutanée"
"5163","22","INTRAMUSCULAR","Intramusculaire"
"5163","65","SUBCUTANEOUS","Sous-cutanée"
"5164","22","INTRAMUSCULAR","Intramusculaire"
"5164","49","INTRAVENOUS","Intraveineuse"
"5165","70","TOPICAL","Topique"
"5166","70","TOPICAL","Topique"
"5167","70","TOPICAL","Topique"
"51745","56","ORAL","Orale"
"51746","56","ORAL","Orale"
"51889","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"51892","53","NASAL","Nasale"
"51894","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"51894","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"5191","56","ORAL","Orale"
"5197","56","ORAL","Orale"
"52040","56","ORAL","Orale"
"52518","70","TOPICAL","Topique"
"5262","49","INTRAVENOUS","Intraveineuse"
"5276","56","ORAL","Orale"
"5307","56","ORAL","Orale"
"5308","56","ORAL","Orale"
"5309","56","ORAL","Orale"
"531","57","OTIC","Otique"
"5310","56","ORAL","Orale"
"5321","56","ORAL","Orale"
"53273","57","OTIC","Otique"
"5357","56","ORAL","Orale"
"5358","56","ORAL","Orale"
"5359","56","ORAL","Orale"
"5368","56","ORAL","Orale"
"5373","33","INTRAPERITONEAL","Intrapéritonéale"
"5373","49","INTRAVENOUS","Intraveineuse"
"5428","69","TEAT-DIP","Bain de trayon"
"5428","70","TOPICAL","Topique"
"5431","56","ORAL","Orale"
"5434","56","ORAL","Orale"
"5435","56","ORAL","Orale"
"5475","56","ORAL","Orale"
"5476","56","ORAL","Orale"
"5480","70","TOPICAL","Topique"
"5544","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"5544","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"5577","70","TOPICAL","Topique"
"55852","56","ORAL","Orale"
"5621","49","INTRAVENOUS","Intraveineuse"
"5663","49","INTRAVENOUS","Intraveineuse"
"5664","33","INTRAPERITONEAL","Intrapéritonéale"
"5664","49","INTRAVENOUS","Intraveineuse"
"5673","56","ORAL","Orale"
"5674","56","ORAL","Orale"
"5692","56","ORAL","Orale"
"5704","49","INTRAVENOUS","Intraveineuse"
"5721","56","ORAL","Orale"
"5722","56","ORAL","Orale"
"5724","56","ORAL","Orale"
"5725","56","ORAL","Orale"
"57341","19","INTRADERMAL","Intradermique"
"57341","65","SUBCUTANEOUS","Sous-cutanée"
"57341","85","PERCUTANEOUS","Percutanée"
"5744","10","INTRA-ARTICULAR","Intra-articulaire"
"5744","22","INTRAMUSCULAR","Intramusculaire"
"5745","22","INTRAMUSCULAR","Intramusculaire"
"5826","56","ORAL","Orale"
"5878","22","INTRAMUSCULAR","Intramusculaire"
"5878","49","INTRAVENOUS","Intraveineuse"
"5879","65","SUBCUTANEOUS","Sous-cutanée"
"5880","22","INTRAMUSCULAR","Intramusculaire"
"5885","56","ORAL","Orale"
"5887","22","INTRAMUSCULAR","Intramusculaire"
"5893","56","ORAL","Orale"
"5901","22","INTRAMUSCULAR","Intramusculaire"
"5902","22","INTRAMUSCULAR","Intramusculaire"
"5903","22","INTRAMUSCULAR","Intramusculaire"
"5903","49","INTRAVENOUS","Intraveineuse"
"5918","56","ORAL","Orale"
"5919","56","ORAL","Orale"
"5923","22","INTRAMUSCULAR","Intramusculaire"
"5924","22","INTRAMUSCULAR","Intramusculaire"
"5936","22","INTRAMUSCULAR","Intramusculaire"
"5936","49","INTRAVENOUS","Intraveineuse"
"5936","65","SUBCUTANEOUS","Sous-cutanée"
"5937","22","INTRAMUSCULAR","Intramusculaire"
"5937","49","INTRAVENOUS","Intraveineuse"
"5937","65","SUBCUTANEOUS","Sous-cutanée"
"5951","49","INTRAVENOUS","Intraveineuse"
"5969","22","INTRAMUSCULAR","Intramusculaire"
"5969","49","INTRAVENOUS","Intraveineuse"
"59718","56","ORAL","Orale"
"59719","56","ORAL","Orale"
"5984","29","INHALATION","Inhalation"
"59887","56","ORAL","Orale"
"5998","55","OPHTHALMIC","Ophtalmique"
"60020","56","ORAL","Orale"
"60071","56","ORAL","Orale"
"6015","69","TEAT-DIP","Bain de trayon"
"60158","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"60158","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"60158","94","DISINFECTANT (Institutional/Industrial)","Désinfectant (Institutions/Industries)"
"60242","56","ORAL","Orale"
"60302","70","TOPICAL","Topique"
"60432","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"60432","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"60432","94","DISINFECTANT (Institutional/Industrial)","Désinfectant (Institutions/Industries)"
"60452","22","INTRAMUSCULAR","Intramusculaire"
"60452","49","INTRAVENOUS","Intraveineuse"
"60456","49","INTRAVENOUS","Intraveineuse"
"60514","56","ORAL","Orale"
"6055","55","OPHTHALMIC","Ophtalmique"
"6056","55","OPHTHALMIC","Ophtalmique"
"6070","22","INTRAMUSCULAR","Intramusculaire"
"6070","49","INTRAVENOUS","Intraveineuse"
"6071","22","INTRAMUSCULAR","Intramusculaire"
"6071","49","INTRAVENOUS","Intraveineuse"
"6072","22","INTRAMUSCULAR","Intramusculaire"
"6072","49","INTRAVENOUS","Intraveineuse"
"6073","33","INTRAPERITONEAL","Intrapéritonéale"
"6073","49","INTRAVENOUS","Intraveineuse"
"6073","65","SUBCUTANEOUS","Sous-cutanée"
"60760","56","ORAL","Orale"
"60798","22","INTRAMUSCULAR","Intramusculaire"
"6088","56","ORAL","Orale"
"61047","56","ORAL","Orale"
"6105","55","OPHTHALMIC","Ophtalmique"
"61132","55","OPHTHALMIC","Ophtalmique"
"6114","73","UDDER WASH","Nettoyage du pis"
"61145","56","ORAL","Orale"
"61148","56","ORAL","Orale"
"61184","56","ORAL","Orale"
"61185","56","ORAL","Orale"
"61191","65","SUBCUTANEOUS","Sous-cutanée"
"6120","56","ORAL","Orale"
"61379","70","TOPICAL","Topique"
"61410","62","RECTAL","Rectale"
"61431","56","ORAL","Orale"
"61438","70","TOPICAL","Topique"
"61475","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"615","49","INTRAVENOUS","Intraveineuse"
"61602","56","ORAL","Orale"
"61615","56","ORAL","Orale"
"61616","56","ORAL","Orale"
"61717","56","ORAL","Orale"
"61789","70","TOPICAL","Topique"
"61892","65","SUBCUTANEOUS","Sous-cutanée"
"61892","85","PERCUTANEOUS","Percutanée"
"61893","65","SUBCUTANEOUS","Sous-cutanée"
"61893","85","PERCUTANEOUS","Percutanée"
"61900","65","SUBCUTANEOUS","Sous-cutanée"
"61900","85","PERCUTANEOUS","Percutanée"
"61901","65","SUBCUTANEOUS","Sous-cutanée"
"61901","85","PERCUTANEOUS","Percutanée"
"61905","65","SUBCUTANEOUS","Sous-cutanée"
"61905","85","PERCUTANEOUS","Percutanée"
"61906","65","SUBCUTANEOUS","Sous-cutanée"
"61906","85","PERCUTANEOUS","Percutanée"
"61909","65","SUBCUTANEOUS","Sous-cutanée"
"61909","85","PERCUTANEOUS","Percutanée"
"61910","65","SUBCUTANEOUS","Sous-cutanée"
"61910","85","PERCUTANEOUS","Percutanée"
"61913","65","SUBCUTANEOUS","Sous-cutanée"
"61913","85","PERCUTANEOUS","Percutanée"
"61914","65","SUBCUTANEOUS","Sous-cutanée"
"61914","85","PERCUTANEOUS","Percutanée"
"61918","65","SUBCUTANEOUS","Sous-cutanée"
"61918","85","PERCUTANEOUS","Percutanée"
"61919","65","SUBCUTANEOUS","Sous-cutanée"
"61919","85","PERCUTANEOUS","Percutanée"
"61922","65","SUBCUTANEOUS","Sous-cutanée"
"61922","85","PERCUTANEOUS","Percutanée"
"61923","65","SUBCUTANEOUS","Sous-cutanée"
"61923","85","PERCUTANEOUS","Percutanée"
"62061","56","ORAL","Orale"
"62062","56","ORAL","Orale"
"62063","56","ORAL","Orale"
"62064","56","ORAL","Orale"
"62065","56","ORAL","Orale"
"62107","70","TOPICAL","Topique"
"622","70","TOPICAL","Topique"
"62206","55","OPHTHALMIC","Ophtalmique"
"62207","55","OPHTHALMIC","Ophtalmique"
"62254","56","ORAL","Orale"
"62353","56","ORAL","Orale"
"62367","56","ORAL","Orale"
"62368","56","ORAL","Orale"
"62370","56","ORAL","Orale"
"62482","56","ORAL","Orale"
"62483","56","ORAL","Orale"
"62497","3","BUCCAL","Buccale"
"62520","70","TOPICAL","Topique"
